duck_id,base_timestamp,forecast_day,forecast_timestamp,start_lat,start_lon,forecast_lat,forecast_lon
BBR-10-M-YR2,2024-09-15 08:19:14,1,2024-09-16 08:19:14,0.6206933562305039,-0.97484276729557,38.926334,-77.735016
BBR-10-M-YR2,2024-09-15 08:19:14,2,2024-09-17 08:19:14,38.926334381103516,-77.73501586914062,38.926334,-77.735016
BBR-10-M-YR2,2024-09-15 08:19:14,3,2024-09-18 08:19:14,38.926334381103516,-77.73501586914062,38.926334,-77.735016
BBR-10-M-YR2,2024-09-15 08:19:14,4,2024-09-19 08:19:14,38.926334381103516,-77.73501586914062,38.926334,-77.735016
BBR-10-M-YR2,2024-09-15 08:19:14,5,2024-09-20 08:19:14,38.926334381103516,-77.73501586914062,38.926334,-77.735016
BBR-10-M-YR2,2024-08-29 19:18:48,1,2024-08-30 19:18:48,-0.9412686487067958,0.9793019898958164,38.897373,-77.67363
BBR-10-M-YR2,2024-08-29 19:18:48,2,2024-08-31 19:18:48,38.89737319946289,-77.67362976074219,38.897373,-77.67363
BBR-10-M-YR2,2024-08-29 19:18:48,3,2024-09-01 19:18:48,38.89737319946289,-77.67362976074219,38.897373,-77.67363
BBR-10-M-YR2,2024-08-29 19:18:48,4,2024-09-02 19:18:48,38.89737319946289,-77.67362976074219,38.897373,-77.67363
BBR-10-M-YR2,2024-08-29 19:18:48,5,2024-09-03 19:18:48,38.89737319946289,-77.67362976074219,38.897373,-77.67363
BBR-10-M-YR2,2024-08-26 03:19:05,1,2024-08-27 03:19:05,-0.9602876462381573,0.9813640581502909,38.894756,-77.66799
BBR-10-M-YR2,2024-08-26 03:19:05,2,2024-08-28 03:19:05,38.89475631713867,-77.6679916381836,38.894756,-77.66799
BBR-10-M-YR2,2024-08-26 03:19:05,3,2024-08-29 03:19:05,38.89475631713867,-77.6679916381836,38.894756,-77.66799
BBR-10-M-YR2,2024-08-26 03:19:05,4,2024-08-30 03:19:05,38.89475631713867,-77.6679916381836,38.894756,-77.66799
BBR-10-M-YR2,2024-08-26 03:19:05,5,2024-08-31 03:19:05,38.89475631713867,-77.6679916381836,38.894756,-77.66799
BBR-2-M-YR2,2024-08-18 23:25:49,1,2024-08-19 23:25:49,-0.02537474282371477,0.28925848925882747,38.9228,-77.72893
BBR-2-M-YR2,2024-08-18 23:25:49,2,2024-08-20 23:25:49,38.92279815673828,-77.72892761230469,38.9228,-77.72893
BBR-2-M-YR2,2024-08-18 23:25:49,3,2024-08-21 23:25:49,38.92279815673828,-77.72892761230469,38.9228,-77.72893
BBR-2-M-YR2,2024-08-18 23:25:49,4,2024-08-22 23:25:49,38.92279815673828,-77.72892761230469,38.9228,-77.72893
BBR-2-M-YR2,2024-08-18 23:25:49,5,2024-08-23 23:25:49,38.92279815673828,-77.72892761230469,38.9228,-77.72893
BBR-2-M-YR2,2024-08-25 04:26:05,1,2024-08-26 04:26:05,0.011266777701166575,0.15814275814318535,38.918983,-77.719894
BBR-2-M-YR2,2024-08-25 04:26:05,2,2024-08-27 04:26:05,38.918983459472656,-77.71989440917969,38.918983,-77.719894
BBR-2-M-YR2,2024-08-25 04:26:05,3,2024-08-28 04:26:05,38.918983459472656,-77.71989440917969,38.918983,-77.719894
BBR-2-M-YR2,2024-08-25 04:26:05,4,2024-08-29 04:26:05,38.918983459472656,-77.71989440917969,38.918983,-77.719894
BBR-2-M-YR2,2024-08-25 04:26:05,5,2024-08-30 04:26:05,38.918983459472656,-77.71989440917969,38.918983,-77.719894
BBR-10-M-YR2,2024-08-18 12:18:59,1,2024-08-19 12:18:59,-0.8323924009874872,0.9796886276935197,38.90114,-77.68164
BBR-10-M-YR2,2024-08-18 12:18:59,2,2024-08-20 12:18:59,38.90113830566406,-77.681640625,38.90114,-77.68164
BBR-10-M-YR2,2024-08-18 12:18:59,3,2024-08-21 12:18:59,38.90113830566406,-77.681640625,38.90114,-77.68164
BBR-10-M-YR2,2024-08-18 12:18:59,4,2024-08-22 12:18:59,38.90113830566406,-77.681640625,38.90114,-77.68164
BBR-10-M-YR2,2024-08-18 12:18:59,5,2024-08-23 12:18:59,38.90113830566406,-77.681640625,38.90114,-77.68164
BBR-1-M-YR2,2024-08-31 01:10:52,1,2024-09-01 01:10:52,-0.7627955559778457,-0.22860131006791562,38.915707,-77.71321
BBR-1-M-YR2,2024-08-31 01:10:52,2,2024-09-02 01:10:52,38.915706634521484,-77.71321105957031,38.915707,-77.71321
BBR-1-M-YR2,2024-08-31 01:10:52,3,2024-09-03 01:10:52,38.915706634521484,-77.71321105957031,38.915707,-77.71321
BBR-1-M-YR2,2024-08-31 01:10:52,4,2024-09-04 01:10:52,38.915706634521484,-77.71321105957031,38.915707,-77.71321
BBR-1-M-YR2,2024-08-31 01:10:52,5,2024-09-05 01:10:52,38.915706634521484,-77.71321105957031,38.915707,-77.71321
BBR-2-M-YR2,2024-08-29 09:25:58,1,2024-08-30 09:25:58,-0.0030371313805517275,0.23076923076905587,38.92363,-77.729706
BBR-2-M-YR2,2024-08-29 09:25:58,2,2024-08-31 09:25:58,38.92362976074219,-77.72970581054688,38.92363,-77.729706
BBR-2-M-YR2,2024-08-29 09:25:58,3,2024-09-01 09:25:58,38.92362976074219,-77.72970581054688,38.92363,-77.729706
BBR-2-M-YR2,2024-08-29 09:25:58,4,2024-09-02 09:25:58,38.92362976074219,-77.72970581054688,38.92363,-77.729706
BBR-2-M-YR2,2024-08-29 09:25:58,5,2024-09-03 09:25:58,38.92362976074219,-77.72970581054688,38.92363,-77.729706
BBR-10-M-YR2,2024-09-01 17:18:38,1,2024-09-02 17:18:38,-0.9396372222819309,0.9752809567996223,38.902473,-77.68483
BBR-10-M-YR2,2024-09-01 17:18:38,2,2024-09-03 17:18:38,38.90247344970703,-77.68482971191406,38.902473,-77.68483
BBR-10-M-YR2,2024-09-01 17:18:38,3,2024-09-04 17:18:38,38.90247344970703,-77.68482971191406,38.902473,-77.68483
BBR-10-M-YR2,2024-09-01 17:18:38,4,2024-09-05 17:18:38,38.90247344970703,-77.68482971191406,38.902473,-77.68483
BBR-10-M-YR2,2024-09-01 17:18:38,5,2024-09-06 17:18:38,38.90247344970703,-77.68482971191406,38.902473,-77.68483
BBR-1-M-YR2,2024-08-28 06:11:05,1,2024-08-29 06:11:05,-0.7250023739438802,0.6426487587382326,38.89944,-77.67842
BBR-1-M-YR2,2024-08-28 06:11:05,2,2024-08-30 06:11:05,38.89944076538086,-77.67842102050781,38.89944,-77.67842
BBR-1-M-YR2,2024-08-28 06:11:05,3,2024-08-31 06:11:05,38.89944076538086,-77.67842102050781,38.89944,-77.67842
BBR-1-M-YR2,2024-08-28 06:11:05,4,2024-09-01 06:11:05,38.89944076538086,-77.67842102050781,38.89944,-77.67842
BBR-1-M-YR2,2024-08-28 06:11:05,5,2024-09-02 06:11:05,38.89944076538086,-77.67842102050781,38.89944,-77.67842
BBR-1-M-YR2,2024-09-14 03:10:41,1,2024-09-15 03:10:41,-0.6015573069985294,0.25028898552295686,38.9084,-77.69743
BBR-1-M-YR2,2024-09-14 03:10:41,2,2024-09-16 03:10:41,38.90840148925781,-77.69743347167969,38.9084,-77.69743
BBR-1-M-YR2,2024-09-14 03:10:41,3,2024-09-17 03:10:41,38.90840148925781,-77.69743347167969,38.9084,-77.69743
BBR-1-M-YR2,2024-09-14 03:10:41,4,2024-09-18 03:10:41,38.90840148925781,-77.69743347167969,38.9084,-77.69743
